rules,support,confidence,coverage,lift,count
{whole milk} => {onions},0.012099644,0.04735376,0.255516014,1.526964702,119
{fruit/vegetable juice} => {root vegetables},0.011997966,0.165963432,0.072292832,1.522621597,118
{root vegetables} => {fruit/vegetable juice},0.011997966,0.110074627,0.108998475,1.522621597,118
{hygiene articles} => {whole milk},0.012811388,0.388888889,0.032943569,1.521974621,126
{whole milk} => {hygiene articles},0.012811388,0.050139276,0.255516014,1.521974621,126
{brown bread} => {whole milk},0.025216065,0.388714734,0.064870361,1.521293038,248
{whole milk} => {brown bread},0.025216065,0.098686828,0.255516014,1.521293038,248
{pip fruit} => {sausage},0.010777834,0.142473118,0.075648195,1.516475236,106
{sausage} => {pip fruit},0.010777834,0.114718615,0.093950178,1.516475236,106
{other vegetables} => {whole milk},0.074834774,0.386757751,0.193492628,1.513634095,736
{whole milk} => {other vegetables},0.074834774,0.292877039,0.255516014,1.513634095,736
"{whole milk,yogurt} => {rolls/buns}",0.015556685,0.277676951,0.056024403,1.509647768,153
{pork} => {whole milk},0.022165735,0.384479718,0.057651246,1.504718673,218
{whole milk} => {pork},0.022165735,0.086748906,0.255516014,1.504718673,218
{fruit/vegetable juice} => {other vegetables},0.02104728,0.291139241,0.072292832,1.50465288,207
{other vegetables} => {fruit/vegetable juice},0.02104728,0.108775617,0.193492628,1.50465288,207
{bottled water} => {soda},0.028978139,0.262189512,0.11052364,1.503576592,285
{soda} => {bottled water},0.028978139,0.166180758,0.174377224,1.503576592,285
{fruit/vegetable juice} => {shopping bags},0.010676157,0.147679325,0.072292832,1.498891806,105
{shopping bags} => {fruit/vegetable juice},0.010676157,0.108359133,0.098525674,1.498891806,105
"{soda,yogurt} => {whole milk}",0.010472801,0.382899628,0.027351296,1.498534757,103
{sausage} => {yogurt},0.019623793,0.208874459,0.093950178,1.497288851,193
{yogurt} => {sausage},0.019623793,0.140670554,0.139501779,1.497288851,193
{pastry} => {sausage},0.012506355,0.140571429,0.088967972,1.496233766,123
{sausage} => {pastry},0.012506355,0.133116883,0.093950178,1.496233766,123
{brown bread} => {other vegetables},0.018708693,0.288401254,0.064870361,1.490502539,184
{other vegetables} => {brown bread},0.018708693,0.096689438,0.193492628,1.490502539,184
{bottled water} => {yogurt},0.022979156,0.207911684,0.11052364,1.490387323,226
{yogurt} => {bottled water},0.022979156,0.164723032,0.139501779,1.490387323,226
{canned beer} => {shopping bags},0.0113879,0.146596859,0.077681749,1.487905165,112
{shopping bags} => {canned beer},0.0113879,0.115583075,0.098525674,1.487905165,112
{sausage} => {soda},0.024300966,0.258658009,0.093950178,1.483324499,239
{soda} => {sausage},0.024300966,0.139358601,0.174377224,1.483324499,239
{sausage} => {other vegetables},0.026944586,0.286796537,0.093950178,1.482209112,265
{other vegetables} => {sausage},0.026944586,0.13925381,0.193492628,1.482209112,265
{fruit/vegetable juice} => {sausage},0.01006609,0.139240506,0.072292832,1.482067511,99
{sausage} => {fruit/vegetable juice},0.01006609,0.107142857,0.093950178,1.482067511,99
{citrus fruit} => {bottled water},0.013523132,0.163591636,0.082663955,1.480150634,133
{bottled water} => {citrus fruit},0.013523132,0.122355106,0.11052364,1.480150634,133
"{other vegetables,sausage} => {whole milk}",0.010167768,0.377358491,0.026944586,1.476848689,100
{long life bakery product} => {other vegetables},0.010676157,0.285326087,0.037417387,1.474609598,105
{other vegetables} => {long life bakery product},0.010676157,0.055176038,0.193492628,1.474609598,105
{napkins} => {whole milk},0.01972547,0.376699029,0.052364006,1.474267788,194
{whole milk} => {napkins},0.01972547,0.077198567,0.255516014,1.474267788,194
{salty snack} => {other vegetables},0.010777834,0.284946237,0.037824098,1.472646472,106
{other vegetables} => {salty snack},0.010777834,0.055701524,0.193492628,1.472646472,106
{pastry} => {whole milk},0.033248602,0.373714286,0.088967972,1.46258655,327
{whole milk} => {pastry},0.033248602,0.130123359,0.255516014,1.46258655,327
{fruit/vegetable juice} => {soda},0.01840366,0.254571027,0.072292832,1.459886908,181
{soda} => {fruit/vegetable juice},0.01840366,0.105539359,0.174377224,1.459886908,181
{sausage} => {root vegetables},0.014946619,0.159090909,0.093950178,1.459570047,147
{root vegetables} => {sausage},0.014946619,0.137126866,0.108998475,1.459570047,147
{citrus fruit} => {sausage},0.011286223,0.136531365,0.082663955,1.453231578,111
{sausage} => {citrus fruit},0.011286223,0.12012987,0.093950178,1.453231578,111
{dessert} => {whole milk},0.013726487,0.369863014,0.037112354,1.447514023,135
{whole milk} => {dessert},0.013726487,0.053720653,0.255516014,1.447514023,135
"{other vegetables,whole milk} => {sausage}",0.010167768,0.135869565,0.074834774,1.446187418,100
{citrus fruit} => {whole milk},0.030503305,0.36900369,0.082663955,1.444150932,300
{whole milk} => {citrus fruit},0.030503305,0.119379228,0.255516014,1.444150932,300
{frankfurter} => {other vegetables},0.016471784,0.279310345,0.058973055,1.443519307,162
{other vegetables} => {frankfurter},0.016471784,0.085128744,0.193492628,1.443519307,162
{fruit/vegetable juice} => {whole milk},0.026639553,0.368495077,0.072292832,1.4421604,262
{whole milk} => {fruit/vegetable juice},0.026639553,0.104257859,0.255516014,1.4421604,262
"{other vegetables,yogurt} => {rolls/buns}",0.011489578,0.264637002,0.04341637,1.43875341,113
{brown bread} => {root vegetables},0.010167768,0.156739812,0.064870361,1.438000047,100
{root vegetables} => {brown bread},0.010167768,0.093283582,0.108998475,1.438000047,100
{shopping bags} => {soda},0.024605999,0.249742002,0.098525674,1.43219393,242
{soda} => {shopping bags},0.024605999,0.141107872,0.174377224,1.43219393,242
{pastry} => {yogurt},0.017691917,0.198857143,0.088967972,1.42548105,174
{yogurt} => {pastry},0.017691917,0.126822157,0.139501779,1.42548105,174
{napkins} => {other vegetables},0.014438231,0.275728155,0.052364006,1.425005995,142
{other vegetables} => {napkins},0.014438231,0.074619023,0.193492628,1.425005995,142
{pastry} => {tropical fruit},0.013218099,0.148571429,0.088967972,1.415891473,130
{tropical fruit} => {pastry},0.013218099,0.125968992,0.104931368,1.415891473,130
{long life bakery product} => {whole milk},0.013523132,0.361413043,0.037417387,1.414443805,133
{whole milk} => {long life bakery product},0.013523132,0.052924791,0.255516014,1.414443805,133
{sausage} => {tropical fruit},0.013929842,0.148268398,0.093950178,1.413003582,137
{tropical fruit} => {sausage},0.013929842,0.132751938,0.104931368,1.413003582,137
"{root vegetables,whole milk} => {rolls/buns}",0.01270971,0.25987526,0.048906965,1.412865219,125
{beef} => {rolls/buns},0.013624809,0.259689922,0.052465684,1.411857594,134
{rolls/buns} => {beef},0.013624809,0.074074074,0.183934926,1.411857594,134
"{tropical fruit,whole milk} => {rolls/buns}",0.01098119,0.259615385,0.042297916,1.411452354,108
{newspapers} => {tropical fruit},0.011794611,0.147770701,0.07981698,1.408260505,116
{tropical fruit} => {newspapers},0.011794611,0.112403101,0.104931368,1.408260505,116
"{other vegetables,root vegetables} => {rolls/buns}",0.012201322,0.25751073,0.0473818,1.400009964,120
{white bread} => {soda},0.010269446,0.243961353,0.04209456,1.399043675,101
{soda} => {white bread},0.010269446,0.058892128,0.174377224,1.399043675,101
{berries} => {whole milk},0.011794611,0.354740061,0.033248602,1.388328095,116
{whole milk} => {berries},0.011794611,0.046159968,0.255516014,1.388328095,116
{newspapers} => {yogurt},0.01535333,0.192356688,0.07981698,1.3788834,151
{yogurt} => {newspapers},0.01535333,0.110058309,0.139501779,1.3788834,151
{margarine} => {rolls/buns},0.014743264,0.251736111,0.058566345,1.368615065,145
{rolls/buns} => {margarine},0.014743264,0.080154782,0.183934926,1.368615065,145
{frankfurter} => {whole milk},0.020538892,0.348275862,0.058973055,1.363029488,202
{whole milk} => {frankfurter},0.020538892,0.080382014,0.255516014,1.363029488,202
{frankfurter} => {yogurt},0.011184545,0.189655172,0.058973055,1.359517945,110
{yogurt} => {frankfurter},0.011184545,0.080174927,0.139501779,1.359517945,110
{pastry} => {shopping bags},0.011896289,0.133714286,0.088967972,1.357151703,117
{shopping bags} => {pastry},0.011896289,0.120743034,0.098525674,1.357151703,117
{pastry} => {soda},0.02104728,0.236571429,0.088967972,1.356664723,207
{soda} => {pastry},0.02104728,0.120699708,0.174377224,1.356664723,207
{waffles} => {other vegetables},0.01006609,0.261904762,0.038434164,1.353564547,99
{other vegetables} => {waffles},0.01006609,0.052023121,0.193492628,1.353564547,99
{newspapers} => {rolls/buns},0.01972547,0.247133758,0.07981698,1.343593427,194
{rolls/buns} => {newspapers},0.01972547,0.10724157,0.183934926,1.343593427,194
{domestic eggs} => {rolls/buns},0.015658363,0.246794872,0.063446873,1.341751003,154
{rolls/buns} => {domestic eggs},0.015658363,0.085129906,0.183934926,1.341751003,154
{newspapers} => {whole milk},0.027351296,0.342675159,0.07981698,1.341110303,269
{whole milk} => {newspapers},0.027351296,0.107043374,0.255516014,1.341110303,269
{yogurt} => {rolls/buns},0.034367056,0.246355685,0.139501779,1.339363274,338
{rolls/buns} => {yogurt},0.034367056,0.18684356,0.183934926,1.339363274,338
{chocolate} => {other vegetables},0.01270971,0.256147541,0.049618709,1.323810334,125
{other vegetables} => {chocolate},0.01270971,0.065685759,0.193492628,1.323810334,125
{newspapers} => {root vegetables},0.011489578,0.143949045,0.07981698,1.320651916,113
{root vegetables} => {newspapers},0.011489578,0.105410448,0.108998475,1.320651916,113
{butter} => {rolls/buns},0.013421454,0.242201835,0.055414337,1.316780014,132
{rolls/buns} => {butter},0.013421454,0.072968491,0.183934926,1.316780014,132
{chocolate} => {whole milk},0.01667514,0.336065574,0.049618709,1.315242705,164
{whole milk} => {chocolate},0.01667514,0.065260645,0.255516014,1.315242705,164
{napkins} => {soda},0.011997966,0.229126214,0.052364006,1.313968694,118
{soda} => {napkins},0.011997966,0.068804665,0.174377224,1.313968694,118
{pastry} => {other vegetables},0.022572445,0.253714286,0.088967972,1.311234892,222
{other vegetables} => {pastry},0.022572445,0.116657909,0.193492628,1.311234892,222
{shopping bags} => {tropical fruit},0.013523132,0.137254902,0.098525674,1.308044536,133
{tropical fruit} => {shopping bags},0.013523132,0.128875969,0.104931368,1.308044536,133
"{other vegetables,whole milk} => {bottled water}",0.010777834,0.144021739,0.074834774,1.303085377,106
"{other vegetables,whole milk} => {rolls/buns}",0.017895272,0.239130435,0.074834774,1.300081717,176
{bottled water} => {root vegetables},0.015658363,0.141674333,0.11052364,1.29978271,154
{root vegetables} => {bottled water},0.015658363,0.143656716,0.108998475,1.29978271,154
{waffles} => {whole milk},0.01270971,0.330687831,0.038434164,1.294196106,125
{whole milk} => {waffles},0.01270971,0.049741345,0.255516014,1.294196106,125
{chocolate} => {rolls/buns},0.011794611,0.237704918,0.049618709,1.292331602,116
{rolls/buns} => {chocolate},0.011794611,0.064123825,0.183934926,1.292331602,116
{pastry} => {rolls/buns},0.020945602,0.235428571,0.088967972,1.279955777,206
{rolls/buns} => {pastry},0.020945602,0.113875069,0.183934926,1.279955777,206
{newspapers} => {bottled water},0.011286223,0.141401274,0.07981698,1.279375831,111
{bottled water} => {newspapers},0.011286223,0.102115915,0.11052364,1.279375831,111
{tropical fruit} => {rolls/buns},0.024605999,0.234496124,0.104931368,1.274886335,242
{rolls/buns} => {tropical fruit},0.024605999,0.133775567,0.183934926,1.274886335,242
{pip fruit} => {bottled water},0.010574479,0.139784946,0.075648195,1.26475156,104
{bottled water} => {pip fruit},0.010574479,0.095676173,0.11052364,1.26475156,104
{coffee} => {whole milk},0.018708693,0.322241681,0.058057956,1.261140842,184
{whole milk} => {coffee},0.018708693,0.07321926,0.255516014,1.261140842,184
{newspapers} => {other vegetables},0.01931876,0.242038217,0.07981698,1.250891151,190
{other vegetables} => {newspapers},0.01931876,0.099842354,0.193492628,1.250891151,190
{sausage} => {whole milk},0.029893238,0.318181818,0.093950178,1.245251963,294
{whole milk} => {sausage},0.029893238,0.116991643,0.255516014,1.245251963,294
{bottled water} => {whole milk},0.034367056,0.310947562,0.11052364,1.216939623,338
{whole milk} => {bottled water},0.034367056,0.134500597,0.255516014,1.216939623,338
{shopping bags} => {other vegetables},0.023182511,0.235294118,0.098525674,1.216036599,228
{other vegetables} => {shopping bags},0.023182511,0.119810825,0.193492628,1.216036599,228
{napkins} => {rolls/buns},0.011692933,0.223300971,0.052364006,1.214021586,115
{rolls/buns} => {napkins},0.011692933,0.063571034,0.183934926,1.214021586,115
{root vegetables} => {rolls/buns},0.024300966,0.222947761,0.108998475,1.212101289,239
{rolls/buns} => {root vegetables},0.024300966,0.132117192,0.183934926,1.212101289,239
{bottled beer} => {soda},0.016980173,0.210858586,0.080528724,1.209209441,167
{soda} => {bottled beer},0.016980173,0.097376093,0.174377224,1.209209441,167
{rolls/buns} => {whole milk},0.056634469,0.30790492,0.183934926,1.205031789,557
{whole milk} => {rolls/buns},0.056634469,0.221647433,0.255516014,1.205031789,557
{rolls/buns} => {other vegetables},0.042602949,0.231619679,0.183934926,1.19704653,419
{other vegetables} => {rolls/buns},0.042602949,0.220178665,0.193492628,1.19704653,419
{soda} => {rolls/buns},0.038332486,0.219825073,0.174377224,1.195124152,377
{rolls/buns} => {soda},0.038332486,0.208402432,0.183934926,1.195124152,377
{coffee} => {other vegetables},0.013421454,0.23117338,0.058057956,1.194739986,132
{other vegetables} => {coffee},0.013421454,0.069364162,0.193492628,1.194739986,132
{shopping bags} => {root vegetables},0.012811388,0.13003096,0.098525674,1.192961277,126
{root vegetables} => {shopping bags},0.012811388,0.117537313,0.108998475,1.192961277,126
{bottled water} => {rolls/buns},0.024199288,0.218951242,0.11052364,1.190373391,238
{rolls/buns} => {bottled water},0.024199288,0.1315644,0.183934926,1.190373391,238
{pork} => {soda},0.011896289,0.206349206,0.057651246,1.18334953,117
{soda} => {pork},0.011896289,0.068221574,0.174377224,1.18334953,117
{bottled water} => {other vegetables},0.024809354,0.224471021,0.11052364,1.160101152,244
{other vegetables} => {bottled water},0.024809354,0.128218602,0.193492628,1.160101152,244
{salty snack} => {whole milk},0.011184545,0.295698925,0.037824098,1.157261808,110
{whole milk} => {salty snack},0.011184545,0.043772384,0.255516014,1.157261808,110
{sausage} => {bottled water},0.011997966,0.127705628,0.093950178,1.155459842,118
{bottled water} => {sausage},0.011997966,0.108555658,0.11052364,1.155459842,118
{frozen vegetables} => {rolls/buns},0.010167768,0.21141649,0.048093543,1.149409167,100
{rolls/buns} => {frozen vegetables},0.010167768,0.05527916,0.183934926,1.149409167,100
{tropical fruit} => {soda},0.020843925,0.198643411,0.104931368,1.139159152,205
{soda} => {tropical fruit},0.020843925,0.119533528,0.174377224,1.139159152,205
{pastry} => {root vegetables},0.01098119,0.123428571,0.088967972,1.13238806,108
{root vegetables} => {pastry},0.01098119,0.100746269,0.108998475,1.13238806,108
{soda} => {yogurt},0.027351296,0.156851312,0.174377224,1.124367823,269
{yogurt} => {soda},0.027351296,0.19606414,0.139501779,1.124367823,269
{domestic eggs} => {soda},0.012404677,0.195512821,0.063446873,1.121206175,122
{soda} => {domestic eggs},0.012404677,0.071137026,0.174377224,1.121206175,122
{brown bread} => {soda},0.012608033,0.194357367,0.064870361,1.114580001,124
{soda} => {brown bread},0.012608033,0.072303207,0.174377224,1.114580001,124
{whipped/sour cream} => {rolls/buns},0.014641586,0.204255319,0.071682766,1.110475989,144
{rolls/buns} => {whipped/sour cream},0.014641586,0.07960199,0.183934926,1.110475989,144
{shopping bags} => {yogurt},0.015251652,0.154798762,0.098525674,1.109654388,150
{yogurt} => {shopping bags},0.015251652,0.109329446,0.139501779,1.109654388,150
{citrus fruit} => {rolls/buns},0.016776817,0.20295203,0.082663955,1.103390387,165
{rolls/buns} => {citrus fruit},0.016776817,0.091210614,0.183934926,1.103390387,165
{frankfurter} => {soda},0.011286223,0.19137931,0.058973055,1.097501759,111
{soda} => {frankfurter},0.011286223,0.064723032,0.174377224,1.097501759,111
{fruit/vegetable juice} => {rolls/buns},0.014539908,0.201125176,0.072292832,1.093458322,143
{rolls/buns} => {fruit/vegetable juice},0.014539908,0.079049198,0.183934926,1.093458322,143
{shopping bags} => {rolls/buns},0.019522115,0.198142415,0.098525674,1.077241929,192
{rolls/buns} => {shopping bags},0.019522115,0.106135987,0.183934926,1.077241929,192
"{whole milk,yogurt} => {soda}",0.010472801,0.186932849,0.056024403,1.072002667,103
"{other vegetables,whole milk} => {soda}",0.013929842,0.186141304,0.074834774,1.067463398,137
{pork} => {rolls/buns},0.011286223,0.195767196,0.057651246,1.064328563,111
{rolls/buns} => {pork},0.011286223,0.061359867,0.183934926,1.064328563,111
{brown bread} => {rolls/buns},0.012608033,0.194357367,0.064870361,1.056663738,124
{rolls/buns} => {brown bread},0.012608033,0.068546158,0.183934926,1.056663738,124
{newspapers} => {soda},0.014641586,0.18343949,0.07981698,1.051969323,144
{soda} => {newspapers},0.014641586,0.083965015,0.174377224,1.051969323,144
{bottled beer} => {other vegetables},0.016166751,0.200757576,0.080528724,1.037546378,159
{other vegetables} => {bottled beer},0.016166751,0.083552286,0.193492628,1.037546378,159
{coffee} => {rolls/buns},0.01098119,0.189141856,0.058057956,1.028308545,108
{rolls/buns} => {coffee},0.01098119,0.059701493,0.183934926,1.028308545,108
{curd} => {rolls/buns},0.01006609,0.188931298,0.053279105,1.027163799,99
{rolls/buns} => {curd},0.01006609,0.054726368,0.183934926,1.027163799,99
{canned beer} => {soda},0.013828165,0.178010471,0.077681749,1.020835559,136
{soda} => {canned beer},0.013828165,0.079300292,0.174377224,1.020835559,136
{pip fruit} => {soda},0.013319776,0.176075269,0.075648195,1.009737766,131
{soda} => {pip fruit},0.013319776,0.07638484,0.174377224,1.009737766,131
{shopping bags} => {bottled water},0.01098119,0.111455108,0.098525674,1.008427774,108
{bottled water} => {shopping bags},0.01098119,0.099356026,0.11052364,1.008427774,108
{pip fruit} => {rolls/buns},0.013929842,0.184139785,0.075648195,1.001113756,137
{rolls/buns} => {pip fruit},0.013929842,0.075732449,0.183934926,1.001113756,137
{} => {liquor},0.011082867,0.011082867,1,1,109
{} => {condensed milk},0.010269446,0.010269446,1,1,101
{} => {flower (seeds)},0.010371124,0.010371124,1,1,102
{} => {spread cheese},0.011184545,0.011184545,1,1,110
{} => {dish cleaner},0.010472801,0.010472801,1,1,103
{} => {cling film/bags},0.0113879,0.0113879,1,1,112
{} => {salt},0.010777834,0.010777834,1,1,106
{} => {frozen dessert},0.010777834,0.010777834,1,1,106
{} => {white wine},0.019013726,0.019013726,1,1,187
{} => {packaged fruit/vegetables},0.013014743,0.013014743,1,1,128
{} => {canned vegetables},0.010777834,0.010777834,1,1,106
{} => {roll products},0.010269446,0.010269446,1,1,101
{} => {frozen fish},0.011692933,0.011692933,1,1,115
{} => {cake bar},0.013218099,0.013218099,1,1,130
{} => {seasonal products},0.014234875,0.014234875,1,1,140
{} => {dishes},0.017590239,0.017590239,1,1,173
{} => {mustard},0.011997966,0.011997966,1,1,118
{} => {red/blush wine},0.019217082,0.019217082,1,1,189
{} => {pot plants},0.017285206,0.017285206,1,1,170
{} => {chewing gum},0.02104728,0.02104728,1,1,207
{} => {canned fish},0.015048297,0.015048297,1,1,148
{} => {pasta},0.015048297,0.015048297,1,1,148
{} => {herbs},0.016268429,0.016268429,1,1,160
{} => {processed cheese},0.016573462,0.016573462,1,1,163
{} => {semi-finished bread},0.017691917,0.017691917,1,1,174
{} => {beverages},0.026029487,0.026029487,1,1,256
{} => {ice cream},0.02501271,0.02501271,1,1,246
{} => {detergent},0.019217082,0.019217082,1,1,189
{} => {pickled vegetables},0.017895272,0.017895272,1,1,176
{} => {baking powder},0.017691917,0.017691917,1,1,174
{} => {flour},0.017386884,0.017386884,1,1,171
{} => {soft cheese},0.017081851,0.017081851,1,1,168
{} => {specialty bar},0.027351296,0.027351296,1,1,269
{} => {misc. beverages},0.028368073,0.028368073,1,1,279
{} => {grapes},0.02236909,0.02236909,1,1,220
{} => {cat food},0.023284189,0.023284189,1,1,229
{} => {specialty chocolate},0.030401627,0.030401627,1,1,299
{} => {meat},0.025826131,0.025826131,1,1,254
{} => {frozen meals},0.028368073,0.028368073,1,1,279
{} => {hard cheese},0.024504321,0.024504321,1,1,241
{} => {butter milk},0.027961362,0.027961362,1,1,275
{} => {candy},0.029893238,0.029893238,1,1,294
{} => {ham},0.026029487,0.026029487,1,1,256
{} => {sliced cheese},0.024504321,0.024504321,1,1,241
{} => {UHT-milk},0.033451957,0.033451957,1,1,329
{} => {oil},0.02806304,0.02806304,1,1,276
{} => {onions},0.031011693,0.031011693,1,1,305
{} => {berries},0.033248602,0.033248602,1,1,327
{} => {hamburger meat},0.033248602,0.033248602,1,1,327
{} => {hygiene articles},0.032943569,0.032943569,1,1,324
{} => {salty snack},0.037824098,0.037824098,1,1,372
{} => {sugar},0.033858668,0.033858668,1,1,333
{} => {waffles},0.038434164,0.038434164,1,1,378
{} => {long life bakery product},0.037417387,0.037417387,1,1,368
{} => {dessert},0.037112354,0.037112354,1,1,365
{} => {canned beer},0.077681749,0.077681749,1,1,764
{} => {cream cheese},0.039654296,0.039654296,1,1,390
{} => {chicken},0.042907982,0.042907982,1,1,422
{} => {white bread},0.04209456,0.04209456,1,1,414
{} => {chocolate},0.049618709,0.049618709,1,1,488
{} => {coffee},0.058057956,0.058057956,1,1,571
{} => {frozen vegetables},0.048093543,0.048093543,1,1,473
{} => {beef},0.052465684,0.052465684,1,1,516
{} => {curd},0.053279105,0.053279105,1,1,524
{} => {napkins},0.052364006,0.052364006,1,1,515
{} => {pork},0.057651246,0.057651246,1,1,567
{} => {frankfurter},0.058973055,0.058973055,1,1,580
{} => {bottled beer},0.080528724,0.080528724,1,1,792
{} => {brown bread},0.064870361,0.064870361,1,1,638
{} => {margarine},0.058566345,0.058566345,1,1,576
{} => {butter},0.055414337,0.055414337,1,1,545
{} => {newspapers},0.07981698,0.07981698,1,1,785
{} => {domestic eggs},0.063446873,0.063446873,1,1,624
{} => {fruit/vegetable juice},0.072292832,0.072292832,1,1,711
{} => {whipped/sour cream},0.071682766,0.071682766,1,1,705
{} => {pip fruit},0.075648195,0.075648195,1,1,744
{} => {pastry},0.088967972,0.088967972,1,1,875
{} => {citrus fruit},0.082663955,0.082663955,1,1,813
{} => {shopping bags},0.098525674,0.098525674,1,1,969
{} => {sausage},0.093950178,0.093950178,1,1,924
{} => {bottled water},0.11052364,0.11052364,1,1,1087
{} => {tropical fruit},0.104931368,0.104931368,1,1,1032
{} => {root vegetables},0.108998475,0.108998475,1,1,1072
{} => {soda},0.174377224,0.174377224,1,1,1715
{} => {yogurt},0.139501779,0.139501779,1,1,1372
{} => {rolls/buns},0.183934926,0.183934926,1,1,1809
{} => {other vegetables},0.193492628,0.193492628,1,1,1903
{} => {whole milk},0.255516014,0.255516014,1,1,2513
{margarine} => {soda},0.010167768,0.173611111,0.058566345,0.995606576,100
{soda} => {margarine},0.010167768,0.058309038,0.174377224,0.995606576,100
{bottled beer} => {whole milk},0.020437214,0.253787879,0.080528724,0.993236684,201
{whole milk} => {bottled beer},0.020437214,0.079984083,0.255516014,0.993236684,201
{root vegetables} => {soda},0.018607016,0.170708955,0.108998475,0.9789636,183
{soda} => {root vegetables},0.018607016,0.106705539,0.174377224,0.9789636,183
{shopping bags} => {whole milk},0.024504321,0.24871001,0.098525674,0.973363689,241
{whole milk} => {shopping bags},0.024504321,0.095901313,0.255516014,0.973363689,241
{soda} => {other vegetables},0.032740214,0.187755102,0.174377224,0.970347572,322
{other vegetables} => {soda},0.032740214,0.169206516,0.193492628,0.970347572,322
{whipped/sour cream} => {soda},0.011591256,0.161702128,0.071682766,0.927312201,114
{soda} => {whipped/sour cream},0.011591256,0.066472303,0.174377224,0.927312201,114
{bottled beer} => {rolls/buns},0.013624809,0.169191919,0.080528724,0.919846614,134
{rolls/buns} => {bottled beer},0.013624809,0.074074074,0.183934926,0.919846614,134
{soda} => {whole milk},0.040061007,0.229737609,0.174377224,0.899112371,394
{whole milk} => {soda},0.040061007,0.156784719,0.255516014,0.899112371,394
{citrus fruit} => {soda},0.012811388,0.15498155,0.082663955,0.888771745,126
{soda} => {citrus fruit},0.012811388,0.073469388,0.174377224,0.888771745,126
{canned beer} => {rolls/buns},0.011286223,0.145287958,0.077681749,0.789887821,111
{rolls/buns} => {canned beer},0.011286223,0.061359867,0.183934926,0.789887821,111
